EST_ID,Estuary_Name
315,Swallop Creek
316,Jump Across Creek
317,Skowquiltz River
318,Unnamed
319,Nusash Creek
320,Nascall River
321,Hot Springs Creek
322,Ickna Creek
323,Taleomey River
324,Noeick River
325,Unnamed
326,Nooseseck River
327,Clayton Falls Creek
328,Bella Coola/Necleetsconnay River Complex
329,Farquhar River
330,Link River
331,Four Lakes
332,Unnamed
333,Dunn Point Area
334,Kakushdish Harbour Area
335,Gibraltar Point
336,Kwatna River
337,Marvinas Bay
338,Yuquot Point
339,Millar Channel
340,Kutcous Point
341,Cow Bay
342,Bazett Island Area
343,Pye Creek
344,Holti Point
345,Restoration Bay
346,Quatlena River
347,Doc Creek
348,Nootum River
349,Ada Cove
350,Koeye River
351,Bolivar Islet
352,Waterfall Inlet
353,Oyster Bay
354,MacNair Creek
355,Clyak River
356,Milton River
357,Kilbella/Chuckwalla River Complex
358,Wannock/Nicknaqueet River Complex
359,Nekite River
360,Draney Creek
361,Campbell River (1)
362,Takush River
363,Long Lake
364,Shade Island area
365,Waump Creek
366,Evader Creek
367,Huaskin Lake
368,Seymour River (2)
369,Cohoe Creek
370,Rainbow Creek
371,Taaltz Creek
372,Mackenzie Lake
373,Nimmo Bay
374,Wakeman River
375,Charles Creek
376,Ahta River
377,Viner Sound
378,Scott Cove
379,Gilford Creek
380,Kingcome River
381,Kakweiken River
382,Lull Creek
383,Kwalate River
384,Tom Browne Creek
385,Blind Creek
386,Ahnuhati River
387,Sim River
388,Wahkash Creek
389,Franklin River
390,Klinaklini River
391,Fraser River
392,Fulmore/Shoal Creek Complex
393,Stafford River
394,Apple River
395,Heydon Creek
396,Phillips River
397,Frederick Arm
398,Moh Creek
399,Bear River [1]
400,Southgate River
401,Homathko/Teaquahan River Complex
402,Village Bay
403,Orford River
404,Quatam River
405,Brem River
406,Toba/Tahumming River Complex
407,Theodosia River
408,Sliammon Creek
409,Powell River
410,Lois River
411,Skwawka River
412,Stakawus Creek
413,Brittain River
414,Vancouver River/High Creek Complex
415,Treat Creek
416,Earle Creek
417,Tzoonie River
418,Gustafson Bay
419,Misery Creek
420,Sechelt Creek
421,Clowhom River
422,Rainy River
423,McNab Creek
424,Mill Creek
425,Furry Creek
426,Grand Creek
427,Indian River
428,Kitsault/Illiance River Complex
429,Lime Creek
430,Donahue Creek
431,Nass/Ksi'Hlginx/Burton/Iknouck/Chambers/Kincolith River
432,Kwinamass River
433,Whitly Point
434,Oona River
435,Kumowdah River
436,Jesse River
437,Gilttoyees River
438,Green Lagoon
439,Unnamed
440,Goldstream River
441,Bear River [2]
442,Asseek River
443,Europa Creek
444,Tsampanaknok Bay Creek
445,Porcher Inlet
1000,Point Roberts
1001,Drayton Harbor
1002,Birch Bay
1003,Nooksack River
1004,Padden Creek
1005,Chuckanut Bay
1006,Nelson Bay
1007,Westcott Bay
1008,Rocky Bay
1009,Garrison Bay
