,mean.tas,SD.tas,ES.tas,mean.pr,SD.pr,ES.pr
mean.tas,1,0.33,0.33,3,0.2,2
SD.tas,3,1,1,7,4,5
ES.tas,3,1,1,3,0.5,1
mean.pr,0.3,0.14,0.33,1,0.25,0.17
SD.pr,5,0.25,2,4,1,2
ES.pr,0.5,0.2,1,6,0.5,1
