"","EST_ID","mean.pr","SD.pr","ES0.99.pr","mean.tas","SD.tas","ES0.99","waterfowl.relative.abundance","waterfowl.richness","meanrisk","Area_Ha","mean.pr.norm","SD.pr.norm","ES0.99.pr.norm","mean.tas.norm","SD.tas.norm","ES0.99.norm","waterfowl.relative.abundance.norm","waterfowl.richness.norm","meanrisk.norm","Area_Ha.norm"
"1",1,10.018831796,-11.5992343275,-6.2139807925,18.931702655,4.1074731965,9.4597064715,0.098807387,14.71379852,18.5691868045552,91.553165587,0.518086654912806,0.612262448430258,0.408235825135629,0.258895906213339,0.536520762390253,0.491470662983322,0.119947225175722,0.558088368429215,0.0159150663705603,0.0021147563603748
"2",2,11.484568985,-9.05318342,-3.950440304,19.10594551,4.271607012,10.0577859235,0.197104901,17.84009171,5.11255322701093,122.522640554,0.566209402607641,0.715862804363315,0.471100943984903,0.265649973998903,0.547038833528397,0.544098793940015,0.239275490034823,0.676667392279983,0.00438180868054713,0.00283057757177282
"3",3,9.8165762875,-4.3097808695,-0.7909908675,19.90059471,4.357435997,9.5963155805,0.078905568,11.91280937,104.916373653265,97.4513116321,0.511446248379848,0.908874731626035,0.558848066394656,0.296452468382641,0.552538951631389,0.503491611127064,0.095787412458486,0.451847993954424,0.0899205262796223,0.00225108473053622
"4",4,10.067191616,-2.857099291,0.4776522755,20.306741975,4.549310321,9.756740621,0.072455145,12.92536259,35.7610984692652,113.939176422,0.519674393447308,0.967985226293155,0.594081985278458,0.31219570306926,0.564834698143266,0.51760824732303,0.0879569216060191,0.490253724040331,0.0306497135072647,0.00263218138651276
"5",5,11.697379565,-9.4728708575,-4.2407328425,18.951214425,3.762893978,9.658319122,0.09076222,12.30841732,5.11255322701093,115.354580042,0.573196350830683,0.698785467937106,0.463038673826018,0.259652228859661,0.514439336196216,0.508947626194842,0.11018079488114,0.466853241923058,0.00438180868054713,0.0026648966952148
"6",6,10.182249744,-11.700932985,-6.052011276,18.70061007,4.3034069635,9.3013200475,0.224342495,22.86828232,5.30548194415864,176.069163534,0.523451955554306,0.608124268363285,0.412734190840357,0.249938207581558,0.549076647314957,0.477533415287954,0.27234056664456,0.867384608495201,0.00454716182016009,0.00406823939802393
"7",7,14.90585727,-4.4311620725,5.443801276,19.829408625,2.2674838495,8.575290542,0.033025417,5.968873978,301.485669012123,17.8079127987,0.678536356010981,0.903935656842675,0.732006422117899,0.293693126293814,0.41861002726101,0.413646291652285,0.0400912042074457,0.226396952167972,0.258393891052012,0.00041022581079257
"8",8,14.91793816,-4.462383085,-1.7544171375,19.943398525,2.437965481,8.6766415965,0.039956614,7.23811245,150.742834506061,48.6495204539,0.678932993024603,0.902665254904496,0.532090909951567,0.298111646131943,0.429534880999415,0.422564699651403,0.0485053306461531,0.274538649026417,0.129196945526006,0.00112309152700933
"9",9,10.5340708195,-7.989893611,-2.008311524,20.097218985,4.2157050115,9.6210889785,0.178710073,20.01770592,0,148.579369658,0.535002864528351,0.75912871171336,0.525039522594646,0.304074093278752,0.543456505193237,0.505671551651398,0.216945089007371,0.759263409880418,0,0.00343284672267609
"10",10,11.827645195,-8.195700536,-3.135065172,19.17316948,4.2607607175,9.8169681025,0.06183153,12.23790932,5.09136184637556,118.313264544,0.577473202160406,0.750754303086777,0.493746288674049,0.268255735079865,0.546343778114077,0.522907977606313,0.0750603844211508,0.464178902280054,0.00436364621426115,0.00273328303778674
"11",11,10.1397500945,-11.2851992725,-5.976425667,19.023329635,4.0260583615,9.5283323865,0.129471108,14.74862862,2.4758915739407,288.659256105,0.522056616795519,0.625040725320802,0.414833423576516,0.262447586044954,0.531303513137736,0.497509415242016,0.157171448578295,0.559409459896847,0.00212200884940804,0.00667062050204544
"12",12,8.063664087,-8.123110601,-4.8410181255,18.619278985,7.7101984855,12.1896546325,0.138821274,20.01626396,560.474595264987,17.8871683969,0.453895036478478,0.753708031577045,0.446367001350536,0.246785621146014,0.767391657369791,0.731693042872226,0.168522082378908,0.759208716926545,0.480365159580764,0.000412057706179045
