"","layer","prin.eigenvector","norm"
"1","climate",-0.753598309478738,0.43736732536008
"2","birds",-0.604481817914275,0.350824295389989
"3","size",-0.189406097541777,0.109925987421651
"4","slr",-0.175546717359899,0.101882391828279
