EST_ID,mean.pr,SD.pr,ES0.99.pr,mean.tas,SD.tas,ES0.99,relative.abundance,richness,risk5,Area_Ha,mean.pr.norm,SD.pr.norm,ES0.99.pr.norm,mean.tas.norm,SD.tas.norm,ES0.99.norm,relative.abundance.norm,richness.norm,risk5.norm,Area_Ha.norm
266,5.16,-23.26,-14.76,24.10,-9.08,0.73,0.05,25.36,132.72,83.56,0.55,0.38,0.34,0.52,0.25,0.23,0.07,0.32,0.11,0.00
267,4.84,-23.29,-14.86,23.02,-8.78,1.13,0.06,32.62,558.32,1.75,0.53,0.38,0.34,0.47,0.26,0.25,0.07,0.41,0.48,0.00
268,5.26,-22.52,-14.26,22.37,-8.86,1.16,0.05,29.84,553.83,0.45,0.55,0.41,0.35,0.45,0.26,0.26,0.07,0.37,0.47,0.00
269,4.91,-23.33,-14.88,24.19,-8.69,1.00,0.04,20.84,426.03,5.43,0.54,0.37,0.34,0.52,0.26,0.24,0.05,0.26,0.37,0.00
270,5.58,-21.17,-13.22,22.11,-9.96,0.75,0.04,26.56,553.83,3.98,0.56,0.46,0.38,0.44,0.21,0.23,0.05,0.33,0.47,0.00
271,5.58,-21.17,-13.22,22.11,-9.96,0.75,0.04,17.66,530.89,0.65,0.56,0.46,0.38,0.44,0.21,0.23,0.05,0.22,0.46,0.00
272,4.97,-22.08,-13.97,24.36,-12.27,0.42,0.03,18.54,753.74,0.68,0.54,0.42,0.36,0.53,0.11,0.21,0.04,0.23,0.65,0.00
273,4.43,-13.86,-9.36,18.02,-0.83,5.50,0.25,41.16,234.36,3.93,0.52,0.75,0.49,0.28,0.60,0.55,0.35,0.52,0.20,0.00
274,4.39,-14.45,-9.87,18.13,-1.32,5.12,0.25,41.16,234.36,8.45,0.52,0.73,0.48,0.28,0.58,0.53,0.35,0.52,0.20,0.00
275,2.08,-23.39,-14.92,24.42,-8.32,0.46,0.07,26.38,330.99,11.52,0.42,0.37,0.33,0.53,0.28,0.21,0.09,0.33,0.28,0.00
276,1.93,-23.32,-14.90,25.43,-7.98,0.87,0.07,28.03,330.99,2.86,0.42,0.37,0.33,0.57,0.30,0.24,0.09,0.35,0.28,0.00
277,1.79,-23.81,-15.24,24.93,-8.22,0.77,0.06,21.42,330.99,1.34,0.41,0.35,0.32,0.55,0.28,0.23,0.08,0.26,0.28,0.00
278,2.23,-21.62,-13.86,28.19,-8.30,0.44,0.06,20.26,330.99,19.74,0.43,0.44,0.36,0.67,0.28,0.21,0.08,0.25,0.28,0.00
279,2.39,-21.52,-13.71,26.21,-8.22,0.31,0.07,23.18,160.58,51.44,0.44,0.45,0.37,0.60,0.28,0.20,0.09,0.29,0.14,0.00
280,2.80,-22.86,-14.52,24.16,-8.27,0.57,0.01,11.56,165.49,28.76,0.45,0.39,0.35,0.52,0.28,0.22,0.01,0.14,0.14,0.00
281,2.67,-22.21,-14.02,23.98,-8.08,0.60,0.04,16.69,330.99,2.24,0.45,0.42,0.36,0.51,0.29,0.22,0.06,0.20,0.28,0.00
282,1.73,-23.61,-15.09,24.96,-8.02,1.31,0.05,20.21,330.99,2.97,0.41,0.36,0.33,0.55,0.29,0.27,0.06,0.25,0.28,0.00
283,1.40,-24.18,-15.50,23.59,-8.58,0.64,0.06,32.88,330.99,1.46,0.40,0.34,0.32,0.50,0.27,0.22,0.08,0.41,0.28,0.00
284,3.70,-22.74,-14.58,26.27,-8.40,0.79,0.06,22.39,213.01,23.62,0.49,0.40,0.34,0.60,0.28,0.23,0.08,0.28,0.18,0.00
285,5.17,-19.50,-12.06,21.39,-10.36,1.04,0.05,30.16,276.92,8.15,0.55,0.53,0.42,0.41,0.19,0.25,0.06,0.38,0.24,0.00
286,4.68,-19.70,-12.28,21.55,-10.20,1.23,0.06,35.87,276.92,29.43,0.53,0.52,0.41,0.42,0.20,0.26,0.08,0.45,0.24,0.00
287,4.50,-20.30,-12.75,21.89,-9.71,1.47,0.05,34.27,553.83,4.98,0.52,0.49,0.40,0.43,0.22,0.28,0.07,0.43,0.47,0.00
288,4.21,-19.96,-12.55,22.01,-10.03,1.50,0.06,34.09,553.83,1.98,0.51,0.51,0.40,0.43,0.21,0.28,0.07,0.43,0.47,0.00
289,6.08,-19.16,-11.69,20.57,-11.16,0.04,0.05,31.94,553.83,2.20,0.58,0.54,0.43,0.38,0.16,0.18,0.07,0.40,0.47,0.00
290,3.68,-22.55,-14.43,23.32,-8.64,1.59,0.05,23.89,558.32,1.80,0.49,0.40,0.35,0.49,0.27,0.29,0.06,0.30,0.48,0.00
291,6.31,-19.62,-11.92,20.72,-11.39,-0.36,0.06,32.41,339.18,16.67,0.59,0.52,0.42,0.38,0.15,0.15,0.08,0.41,0.29,0.00
292,5.19,-20.21,-12.64,23.87,-12.22,0.05,0.16,43.47,648.87,4.20,0.55,0.50,0.40,0.51,0.11,0.18,0.22,0.55,0.56,0.00
293,5.94,-22.14,-13.21,22.28,-12.61,-0.36,0.02,9.40,753.74,0.70,0.58,0.42,0.38,0.44,0.09,0.15,0.02,0.11,0.65,0.00
294,4.23,-21.64,-14.08,27.38,-9.98,0.04,0.03,13.39,734.52,3.04,0.51,0.44,0.36,0.64,0.21,0.18,0.04,0.16,0.63,0.00
295,0.95,-15.88,-11.29,26.67,-8.67,-0.48,0.08,26.50,223.18,26.36,0.38,0.67,0.44,0.62,0.27,0.14,0.10,0.33,0.19,0.00
296,0.90,-15.86,-11.27,27.68,-8.60,-0.39,0.08,28.03,63.77,208.77,0.38,0.67,0.44,0.65,0.27,0.15,0.11,0.35,0.05,0.00
297,0.87,-16.56,-11.74,27.38,-8.51,-0.35,0.08,29.64,44.64,129.89,0.38,0.64,0.42,0.64,0.27,0.15,0.11,0.37,0.04,0.00
298,3.47,-19.19,-12.22,28.29,-9.15,0.15,0.08,23.26,106.51,163.51,0.48,0.54,0.41,0.68,0.24,0.19,0.10,0.29,0.09,0.00
299,3.17,-19.63,-12.19,29.34,-8.47,0.16,0.08,23.55,160.58,42.38,0.47,0.52,0.41,0.72,0.27,0.19,0.10,0.29,0.14,0.00
300,3.19,-19.43,-12.05,26.49,-8.43,-0.02,0.07,24.07,321.16,11.35,0.47,0.53,0.42,0.61,0.28,0.17,0.09,0.30,0.28,0.00
301,3.57,-23.27,-14.82,24.49,-8.04,1.03,0.01,13.52,558.32,12.69,0.48,0.38,0.34,0.53,0.29,0.25,0.01,0.16,0.48,0.00
302,3.22,-23.28,-14.85,25.47,-7.68,1.34,0.01,13.56,558.32,1.57,0.47,0.38,0.34,0.57,0.31,0.27,0.01,0.16,0.48,0.00
