"","layer","prin.eigenvector","norm"
"1","mean.tas",-0.195365398961374,0.0949960211245301
"2","SD.tas",-0.760728351969377,0.369902587550828
"3","ES.tas",-0.350620487961629,0.170488487000102
"4","mean.pr",-0.074953275381855,0.036445875110849
"5","SD.pr",-0.453270032333547,0.220401615616629
"6","ES.pr",-0.221626472060638,0.107765413597062
