EST_ID,mean.pr,SD.pr,ES0.99.pr,mean.tas,SD.tas,ES0.99,relative.abundance,richness,risk5,Area_Ha,mean.pr.norm,SD.pr.norm,ES0.99.pr.norm,mean.tas.norm,SD.tas.norm,ES0.99.norm,relative.abundance.norm,richness.norm,risk5.norm,Area_Ha.norm
91,7.14,-7.83,-2.92,17.81,-3.57,3.99,0.07,20.18,131.34,47.08,0.62,0.99,0.68,0.27,0.49,0.45,0.1,0.25,0.11,0
92,7.84,-8.16,-2.7,17.39,-4.04,3.58,0.08,21.18,262.68,17.21,0.65,0.97,0.68,0.25,0.47,0.42,0.11,0.26,0.23,0
93,6.49,-9.17,-1.78,18.26,-3.07,5.98,0.09,25.39,262.68,19.85,0.6,0.93,0.71,0.29,0.51,0.59,0.12,0.32,0.23,0
94,6.95,-9.28,-1.14,17.76,-5.24,4.97,0.15,37.04,262.68,5.3,0.62,0.93,0.73,0.27,0.41,0.52,0.2,0.47,0.23,0
95,6.06,-8.82,-3.92,18.51,-2.09,5.88,0.06,15.85,131.34,50.94,0.58,0.95,0.65,0.3,0.55,0.58,0.09,0.19,0.11,0
96,6.41,-13.55,-7.59,20.56,-1.61,5.35,0.12,34.38,0,10.25,0.59,0.76,0.54,0.38,0.57,0.54,0.16,0.43,0,0
97,4.76,-16.65,-12.23,18.37,3.11,9.62,0.21,57.32,580.51,5.85,0.53,0.64,0.41,0.29,0.77,0.84,0.3,0.73,0.5,0
98,4.46,-15.56,-11.27,18.19,2.91,9.53,0.17,56.69,290.26,26.2,0.52,0.68,0.44,0.29,0.77,0.83,0.24,0.72,0.25,0
99,7.27,-8.49,-3.79,18.28,-1.07,5.84,0.05,9.24,511.96,29.21,0.63,0.96,0.65,0.29,0.59,0.58,0.06,0.11,0.44,0
100,8.08,-7.52,-2.77,17.66,-1.13,5.67,0.09,27.71,510.21,2.63,0.66,1,0.68,0.27,0.59,0.56,0.12,0.35,0.44,0
101,8.07,-7.74,-3.07,18.84,0.4,6.82,0.08,23.24,510.21,5.29,0.66,0.99,0.67,0.31,0.66,0.64,0.11,0.29,0.44,0
102,8.86,-8.43,-3.27,18.21,-0.5,5.98,0.07,20.2,510.21,7.05,0.69,0.96,0.67,0.29,0.62,0.59,0.1,0.25,0.44,0
103,7.13,-11.05,5.97,18.84,-8.1,2.84,0.09,36.74,251.62,52.25,0.62,0.86,0.93,0.31,0.29,0.37,0.12,0.46,0.22,0
104,6.28,-9.82,-2.46,18.5,-7.33,3.15,0.07,29.84,138.46,67.49,0.59,0.91,0.69,0.3,0.32,0.39,0.1,0.37,0.12,0
105,6.3,-9.8,-2.18,17.54,-8.77,2.49,0.05,19.49,553.83,12.11,0.59,0.91,0.7,0.26,0.26,0.35,0.06,0.24,0.47,0
106,6.29,-9.54,-1.84,17.39,-8.22,2.85,0.12,46.48,276.92,52.55,0.59,0.92,0.71,0.25,0.28,0.37,0.16,0.59,0.24,0
107,8.55,-8.93,2.85,18.3,-4.83,3.5,0.08,29.07,165.47,57.04,0.68,0.94,0.84,0.29,0.43,0.42,0.11,0.36,0.14,0
108,8.46,-8.98,-0.48,18.3,-5,3.59,0.08,25.75,330.94,32.13,0.67,0.94,0.75,0.29,0.42,0.42,0.1,0.32,0.28,0
